start_country,end_country,start_lat,start_long,end_lat,end_long,count
Ghana,United States,8,-2,0,0,68432.0
South Africa,United States,-29,24,0,0,68041.0
Tunisia,Libya,34,9,25,17,67943.0
India,Malaysia,20,77,2.5,112.5,67701.0
Greece,Albania,39,22,41,20,67508.0
Estonia,Russian Federation,59,26,0,0,67402.0
Uzbekistan,Kyrgyz Republic,41,64,0,0,67084.0
Kazakhstan,Israel,48,68,31.5,34.75,67080.0
Ethiopia,Israel,8,38,31.5,34.75,66967.0
Lebanon,Canada,33.8333,35.8333,60,-95,66923.0
Georgia,Armenia,42,43.5,40,45,66796.0
"Hong Kong SAR, China",Australia,0,0,-27,133,66151.0
France,Switzerland,46,2,47,8,65553.0
Singapore,Malaysia,1.3667,103.8,2.5,112.5,65444.0
Rwanda,Uganda,-2,30,1,32,65400.0
Chad,Cameroon,15,19,6,12,65397.0
Uzbekistan,Tajikistan,41,64,39,71,65152.0
Kyrgyz Republic,Uzbekistan,0,0,41,64,64926.0
Serbia and Montenegro,United States,0,0,0,0,64520.0
Mali,Burkina Faso,17,-4,13,-2,64438.0
Benin,Togo,9.5,2.25,8,1.1667,64427.0
Argentina,Paraguay,-34,-64,-23,-58,64284.0
Russian Federation,Poland,0,0,52,20,64036.0
Trinidad and Tobago,Canada,11,-61,60,-95,63625.0
Serbia and Montenegro,Canada,0,0,60,-95,63583.0
Mozambique,United Kingdom,-18.25,35,0,0,62051.0
Pakistan,Kuwait,30,70,29.3375,47.6581,61987.0
Bangladesh,United Arab Emirates,24,90,0,0,61616.0
Austria,Serbia and Montenegro,47.3333,13.3333,0,0,61465.0
Tanzania,Kenya,TZA,-6,1,38,61151.0
Philippines,Germany,0,0,51,9,60903.0
Spain,United Kingdom,40,-4,0,0,60888.0
Benin,Cote d'Ivoire,9.5,2.25,8,-5,60847.0
Myanmar,India,22,98,20,77,60627.0
New Zealand,United Kingdom,-41,174,0,0,60530.0
Rwanda,Sudan,-2,30,0,0,60380.0
Greece,Turkey,39,22,39,35,59749.0
Romania,Canada,46,25,60,-95,59644.0
Japan,United Kingdom,36,138,0,0,59546.0
Croatia,United States,45.1667,15.5,0,0,58970.0
Belarus,United States,53,28,0,0,58949.0
Guinea,Sierra Leone,11,-10,8.5,-11.5,58908.0
Slovak Republic,France,0,0,46,2,58839.0
India,"Hong Kong SAR, China",20,77,0,0,58685.0
Turkey,Belgium,39,35,50.8333,4,58404.0
"Iran, Islamic Rep.",Israel,0,0,31.5,34.75,58326.0
"Macedonia, FYR",Switzerland,0,0,47,8,58224.0
Ukraine,Germany,49,32,51,9,58163.0
Niger,Nigeria,0,0,10,8,58115.0
Malaysia,Brunei Darussalam,2.5,112.5,4.5,114.6667,58104.0
Mali,Niger,17,-4,0,0,58083.0
Sri Lanka,Germany,7,81,51,9,58017.0
Niger,Cote d'Ivoire,0,0,8,-5,57705.0
Zimbabwe,Malawi,-20,30,-13.5,34,57580.0
Poland,Australia,52,20,-27,133,57567.0
"Yemen, Rep.",Kuwait,0,0,29.3375,47.6581,57517.0
Latvia,Germany,57,25,51,9,56469.0
Australia,New Zealand,-27,133,-41,174,56375.0
Belarus,Lithuania,53,28,56,24,56314.0
Ukraine,Israel,49,32,31.5,34.75,56111.0
"Egypt, Arab Rep.",Qatar,0,0,25.5,51.25,56093.0
"Yemen, Rep.",United Arab Emirates,0,0,0,0,55955.0
Germany,Italy,51,9,42.8333,12.8333,55821.0
Syrian Arab Republic,United States,35,38,0,0,55753.0
Sweden,United States,62,15,0,0,55584.0
"Macedonia, FYR",Germany,0,0,51,9,54994.0
Italy,Brazil,42.8333,12.8333,-10,-55,54958.0
Serbia and Montenegro,Australia,0,0,-27,133,54847.0
Serbia and Montenegro,France,0,0,46,2,54760.0
Barbados,United States,13.1667,-59.5333,0,0,54282.0
Portugal,"Venezuela, RB",39.5,-8,0,0,54250.0
"Venezuela, RB",Spain,0,0,40,-4,54198.0
Ukraine,Canada,49,32,60,-95,53801.0
Iraq,"Yemen, Rep.",33,44,0,0,53675.0
Bolivia,United States,0,0,0,0,53658.0
"Congo, Dem. Rep.",Sudan,0,0,0,0,53612.0
Belgium,France,50.8333,4,46,2,53553.0
Ukraine,Latvia,49,32,57,25,53535.0
United States,Australia,0,0,-27,133,53104.0
India,Qatar,20,77,25.5,51.25,52788.0
Sri Lanka,Australia,7,81,-27,133,52695.0
Malaysia,United States,2.5,112.5,0,0,52623.0
Haiti,Canada,19,-72.4167,60,-95,52606.0
Angola,Namibia,-12.5,18.5,-22,17,52200.0
Armenia,Ukraine,40,45,49,32,52168.0
Serbia and Montenegro,Netherlands,0,0,0,0,52088.0
Burundi,Sudan,-3.5,30,0,0,51746.0
France,"Congo, Dem. Rep.",46,2,0,0,51717.0
Lebanon,Germany,33.8333,35.8333,51,9,51611.0
Switzerland,United States,47,8,0,0,51605.0
Russian Federation,Canada,0,0,60,-95,51588.0
Croatia,Australia,45.1667,15.5,-27,133,51426.0
Uganda,Sudan,1,32,0,0,51331.0
Bosnia and Herzegovina,Sweden,44,18,62,15,50956.0
"Iran, Islamic Rep.",Sweden,0,0,62,15,50537.0
Colombia,Ecuador,4,-72,-2,-77.5,50510.0
Malaysia,United Kingdom,2.5,112.5,0,0,50446.0
Thailand,Malaysia,15,100,2.5,112.5,50423.0
Jordan,United States,31,36,0,0,50422.0
United States,Japan,0,0,36,138,50202.0
Italy,"Venezuela, RB",42.8333,12.8333,0,0,50049.0
Zimbabwe,United Kingdom,-20,30,0,0,49791.0
Ireland,Australia,53,-8,-27,133,49765.0
Senegal,Italy,14,-14,42.8333,12.8333,49590.0
Iraq,Germany,33,44,51,9,49506.0
Bosnia and Herzegovina,Switzerland,44,18,47,8,49417.0
Hungary,Canada,47,20,60,-95,49398.0
Bangladesh,Pakistan,24,90,30,70,48910.0
Jamaica,France,18.25,-77.5,46,2,48902.0
Iraq,Sweden,33,44,62,15,48824.0
Croatia,Slovenia,45.1667,15.5,46,15,48609.0
Brazil,Portugal,-10,-55,39.5,-8,48521.0
Sudan,Kenya,0,0,1,38,48296.0
China,"Korea, Rep.",35,105,0,0,48165.0
Netherlands,United Kingdom,0,0,0,0,48037.0
Guam,United States,13.4667,144.7833,0,0,47896.0
Romania,Spain,46,25,40,-4,47854.0
France,Guadeloupe,46,2,16.25,-61.5833,47533.0
Poland,Kazakhstan,52,20,48,68,47273.0
"Korea, Rep.",China,0,0,35,105,47152.0
Spain,Belgium,40,-4,50.8333,4,47129.0
Lebanon,United Arab Emirates,33.8333,35.8333,0,0,47122.0
Peru,Italy,-10,-76,42.8333,12.8333,46851.0
Samoa,New Zealand,-13.5833,-172.3333,-41,174,46795.0
