Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
The Americas,Dominican Republic,0.08210355090982077,"8,591,967",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Ecuador,0.039061328601817914,"12,345,023",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,"Egypt, Arab Rep.",0.0201024653658203,"67,648,419",2000,"[('Afghanistan', 9.0), ('Albania', 3.0), ('Algeria', 169.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,El Salvador,0.1251834712190704,"5,940,305",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Equatorial Guinea,0.009608363119259004,"520,380",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Eritrea,0.0,"3,667,576",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Estonia,0.40671332552034845,"1,369,515",2000,"[('Afghanistan', 0.0), ('Albania', 4.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Ethiopia,0.00027077721019324544,"65,577,897",2000,"[('Afghanistan', 3.0), ('Albania', 0.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Faeroe Islands,0.3710075858601316,"45,743",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,Fiji,0.06782774313246719,"811,718",2000,"[('Afghanistan', 11.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Finland,0.7203389584925957,"5,176,209",2000,"[('Afghanistan', 0.0), ('Albania', 2.0), ('Algeria', 4.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,France,0.47696470593566126,"60,910,922",2000,"[('Afghanistan', 31.0), ('Albania', 5.0), ('Algeria', 28772.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,French Polynesia,0.16790243984547926,"237,638",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Gabon,0.09714443920943855,"1,235,274",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,"Gambia, The",0.004317376515322061,"1,297,084",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Georgia,0.04407600208224883,"4,418,300",2000,"[('Afghanistan', 0.0), ('Albania', 3.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Germany,0.5863169423920553,"82,211,508",2000,"[('Afghanistan', 45.0), ('Albania', 53.0), ('Algeria', 290.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Ghana,0.006785373084643284,"19,165,490",2000,"[('Afghanistan', 6.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Greece,0.5433856451515102,"10,917,482",2000,"[('Afghanistan', 3.0), ('Albania', 67508.0), ('Algeria', 941.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Greenland,0.268932384341637,"56,200",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Grenada,0.04235535154941786,"101,522",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,Guam,0.17531760201615243,"155,147",2000,"[('Afghanistan', 2.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Guatemala,0.07625018232015535,"11,237,101",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
